	sale date	address	neighborhood	gush	helka	asset-type	rooms	floor	area	price
694	30/10/2017	אושה 29	מוצקין הותיקה	10428	153	דירה בבית קומות	1	ראשונה	26	375,000
695	30/10/2017	"רנ""ס 19"	מוצקין הותיקה	10429	94	דירה בבית קומות	3	ראשונה	54	750,000
696	26/10/2017	סנש חנה 19	מוצקין הותיקה	10428	67	דירה בבית קומות	5	רביעית	126	1,320,000
697	19/10/2017	הרב הרצוג 26	מוצקין הותיקה	11577	93	דירה בבית קומות	4	רביעית	91	1,050,000
698	18/10/2017	"רנ""ס 1"	מוצקין הותיקה	10429	88	דירה בבית קומות	4	ראשונה	70	850,000
699	10/10/2017	ויצמן 52	מוצקין הותיקה	10428	50	דירה בבית קומות	4.5	ראשונה	70	1,065,000
700	04/10/2017	אוסישקין 17	מוצקין הותיקה	11562	53	חנות		ראשונה	65	1,133,000
701	03/10/2017	"רנ""ס 16"	מוצקין הותיקה	10428	131	דירה בבית קומות	2	ראשונה	30	430,000
702	02/10/2017	עכו 25	מוצקין הותיקה	10428	133	דירה בבית קומות	2	ראשונה	52	550,000
703	30/09/2017	דבורה 28	מוצקין הותיקה	11564	160	דירה	3		88	1,325,000
704	27/09/2017	כצנלסון 6	מוצקין הותיקה	11562	20	דירה בבית קומות	3	שניה	79	975,000
705	27/09/2017	כצנלסון 15	מוצקין הותיקה	10429	101	דירה בבית קומות	4.5	שניה	112	1,083,000
706	25/09/2017	אושה 37	מוצקין הותיקה	11577	118	דירה בבית קומות	4	ראשונה	86	990,000
707	25/09/2017	ויצמן 56	מוצקין הותיקה	11562	115	דירה בבית קומות	1	שלישית	24	380,000
708	18/09/2017	רמז 5	מוצקין הותיקה	10428	132	דירה בבית קומות	2	ראשונה	47	640,000
709	17/09/2017	דבורה 28	מוצקין הותיקה	11562	106	דירה בבית קומות	5	חמישית	119	1,950,000
710	17/09/2017	דבורה 28	מוצקין הותיקה	11564	125	דירת גן	5	קומה ‎0‏	110	2,100,000
711	17/09/2017	יעל 2	מוצקין הותיקה	11562	44	דירה בבית קומות	4	שלישית	86	1,237,000
712	16/09/2017	ברק 50	מוצקין הותיקה	11562	106	דירה	5	חמישית	119	1,950,000
713	14/09/2017	סנש חנה 7	מוצקין הותיקה	10430	374	דירה בבית קומות	4	רביעית	100	1,250,000
714	14/09/2017	הילדים 32	מוצקין הותיקה	11562	115	דירה בבית קומות	1	שלישית	25	380,000
715	13/09/2017	סנש חנה 6	מוצקין הותיקה	10428	158	דירה בבית קומות	3.5	ראשונה	89	760,000
716	13/09/2017	גושן משה 22	מוצקין הותיקה	10430	374	דירה	4		93	1,250,000
717	31/08/2017	ההגנה 19	מוצקין הותיקה	11562	101	דירה בבית קומות	4	ראשונה	97	748,000
718	31/08/2017	ההגנה 52	מוצקין הותיקה	10428	144	דירה בבית קומות	2	ראשונה	47	717,000
719	27/08/2017	ויצמן 14	מוצקין הותיקה	10428	157	דירה בבית קומות	1	ראשונה	32	460,000
720	27/08/2017	הקרב 6	מוצקין הותיקה	11577	62	דירה בבית קומות	4	קרקע+ראשונה	127	1,750,000
721	25/08/2017	קרן קימת 31	מוצקין הותיקה	10430	301	דירה בבית קומות	2.5	שניה	56	1,150,000
722	24/08/2017	דבורה 28	מוצקין הותיקה	11577	26	דירה בבית קומות	4	חמישית	100	1,750,000
723	23/08/2017	גושן משה 14	מוצקין הותיקה	11577	76	דירה בבית קומות	5	קרקע ראשונה	130	1,625,000
724	16/08/2017	דבורה 28	מוצקין הותיקה	10429	139	דירה בבית קומות	3	שניה	75	850,000
725	13/08/2017	אוסישקין 36	מוצקין הותיקה	11564	125	דירה בבית קומות	5	קומה ‎3‏	110	1,715,000
726	13/08/2017	גושן משה 66	מוצקין הותיקה	10428	68	דירה	5		117	1,340,000
727	12/08/2017	כצנלסון 25	מוצקין הותיקה	11562	106	דירה	3	חמישית	57	1,280,000
728	10/08/2017	הילדים 20	מוצקין הותיקה	11564	160	דירה בבית קומות	4	רביעית	100	1,450,000
729	08/08/2017	הילדים 21	מוצקין הותיקה	11562	25	דירה בבית קומות	4	קרקע + ראשונה	98	1,140,000
730	07/08/2017	דבורה 28	מוצקין הותיקה	11564	107	דירה	5		142	2,320,000
731	02/08/2017	דבורה 28	מוצקין הותיקה	10428	158	דירה בבית קומות	1	ראשונה	26	300,000
732	27/07/2017	אוסישקין 44	מוצקין הותיקה	10430	415	דירה בבית קומות	3	רביעית	88	790,000
733	27/07/2017	ויצמן 58	מוצקין הותיקה	11562	10	דירה בבית קומות	4	קרקע	71	1,215,000
734	24/07/2017	ויצמן 58	מוצקין הותיקה	10430	419	דירה בבית קומות	4	רביעית	88	810,000
735	23/07/2017	גורדון 11	מוצקין הותיקה	10428	98	דירה בבית קומות	2	ראשונה	63	528,000
736	23/07/2017	"רנ""ס 15"	מוצקין הותיקה	11564	125	דירה	5	קומה ‎1‏	110	1,745,000
737	23/07/2017	ויצמן 26	מוצקין הותיקה	11562	121	דירה בבית קומות	2	קרקע	77	740,000
738	20/07/2017	יעל 29	מוצקין הותיקה	11562	106	דירה בבית קומות	4	חמישית	100	1,280,000
739	20/07/2017	עכו 91	מוצקין הותיקה	11577	93	דירה בבית קומות	4	רביעית	93	1,080,000
740	17/07/2017	יעל 29	מוצקין הותיקה	11577	111	דירה בבית קומות	4	ראשונה	83	1,070,000
741	13/07/2017	קרן קימת 38	מוצקין הותיקה	11562	17	דירה בבית קומות	2	קרקע	42	600,000
742	12/07/2017	ויצמן 58	מוצקין הותיקה	10430	375	דירה בבית קומות	3	שניה	69	800,000
743	11/07/2017	הילדים 15	מוצקין הותיקה	11577	9	דירה בבית קומות	4	שלישית	84	1,100,000
744	10/07/2017	ויצמן 58	מוצקין הותיקה	11562	106	דירה בבית קומות	5	ראשונה	119	1,460,000
745	09/07/2017	קרן קימת 36	מוצקין הותיקה	11562	106	דירה	5	ראשונה	119	1,460,000
746	04/07/2017	העליה 3	מוצקין הותיקה	11577	34	דירה בבית קומות	3	קרקע	69	1,150,000
747	30/06/2017	יעל 16	מוצקין הותיקה	11564	150	דירה בבית קומות	5	קרקע ראשונה שניה	156	1,580,000
748	28/06/2017	רוקח 18	מוצקין הותיקה	10428	152	דירה בבית קומות	3	קרקע	58	750,000
749	26/06/2017	ברק 50	מוצקין הותיקה	10428	32	דירה בבית קומות	2.5	ראשונה	47	655,000
750	25/06/2017	עכו 79	מוצקין הותיקה	10428	127	דירה בבית קומות	1	ראשונה	24	440,000
751	22/06/2017	דבורה 18	מוצקין הותיקה	11562	61	דירה בבית קומות	4	שניה	93	1,000,000
752	22/06/2017	עכו 73	מוצקין הותיקה	10429	112	דירה בבית קומות	3	שניה	70	825,000
753	20/06/2017	ההגנה 44	מוצקין הותיקה	10430	451	דירה בבית קומות	5	קרקע,ראשונה	117	1,280,000
754	19/06/2017	קרן קימת 36	מוצקין הותיקה	10428	144	דירה בבית קומות	2	שניה	68	690,000
755	14/06/2017	עכו 73	מוצקין הותיקה	11577	86	דירה בבית קומות	4	שניה	69	795,000
756	14/06/2017	יעל 19	מוצקין הותיקה	11564	130	דירה בבית קומות	4	ראשונה	84	1,060,000
757	13/06/2017	עכו 83	מוצקין הותיקה	11562	106	דירה בבית קומות	5	רביעית	119	1,520,000
758	12/06/2017	ציפורן 2	מוצקין הותיקה	11562	68	חנות		קרקע	27	547,000
759	12/06/2017	ויצמן 58	מוצקין הותיקה	11562	106	דירה	5	רביעית	119	1,520,000
760	12/06/2017	ויצמן 58	מוצקין הותיקה	10428	88	דירה בבית קומות	4	שניה	94	939,000
761	11/06/2017	סנש חנה 11	מוצקין הותיקה	11564	98	דירה בבית קומות	4	ראשונה	95	980,000
762	11/06/2017	אוסישקין 3	מוצקין הותיקה	11577	106	דירה בבית קומות	3.5	ראשונה	76	925,000
763	09/06/2017	הילדים 15	מוצקין הותיקה	10428	137	דירה בבית קומות	2	קרקע	26	565,000
764	08/06/2017	עכו 123	מוצקין הותיקה	10428	30	דירה בבית קומות	3	שלישית	52	570,000
765	07/06/2017	אהרון 3	מוצקין הותיקה	11562	106	דירה בבית קומות	5	שלישית	119	1,470,000
766	06/06/2017	קרן קימת 47	מוצקין הותיקה	11562	106	דירה	5	שלישית	119	1,470,000
767	05/06/2017	גושן משה 76	מוצקין הותיקה	10428	132	דירה בבית קומות	2	שניה	48	499,000
768	05/06/2017	רוקח 2	מוצקין הותיקה	10430	374	דירה בבית קומות	6	שישית	155	2,150,000
769	04/06/2017	גושן משה 6	מוצקין הותיקה	10430	374	דירה	6		155	2,150,000
770	29/05/2017	רוקח 19	מוצקין הותיקה	10430	371	דירה בבית קומות	3.5	ראשונה	61	870,000
771	28/05/2017	קרן קימת 36	מוצקין הותיקה	11564	105	דירה בבית קומות	5	קרקע,ראשונה	130	1,570,000
772	28/05/2017	הרב הרצוג 2	מוצקין הותיקה	10428	142	דירה בבית קומות	2	ראשונה	46	650,000
773	24/05/2017	אוסישקין 1	מוצקין הותיקה	11564	160	דירה בבית קומות	5	חמישית	110	1,577,000
774	24/05/2017	אוסישקין 1	מוצקין הותיקה	10429	94	דירה בבית קומות	3	שניה	56	759,000
775	23/05/2017	אוסישקין 1	מוצקין הותיקה	11564	160	דירה	5		110	1,565,000
776	22/05/2017	אהרון 30	מוצקין הותיקה	11577	23	דירה בבית קומות	4	קרקע	65	1,360,000
777	17/05/2017	גושן משה 16	מוצקין הותיקה	10430	374	דירה בבית קומות	4	חמישית	93	1,240,000
778	17/05/2017	גושן משה 88	מוצקין הותיקה	10428	68	דירה	5		117	1,360,000
779	16/05/2017	סנש חנה 21	מוצקין הותיקה	10430	374	דירה	4		93	1,240,000
780	16/05/2017	סנש חנה 5	מוצקין הותיקה	11577	26	דירה	4		110	1,330,000
781	15/05/2017	גושן משה 52	מוצקין הותיקה	10428	123	דירה בבית קומות	1.5	ראשונה	35	420,000
782	12/05/2017	סנש חנה 13	מוצקין הותיקה	11577	155	דירה בבית קומות	4	שניה	98	950,000
783	10/05/2017	ויצמן 28	מוצקין הותיקה	10429	108	דירה בבית קומות	3	שלישית	68	740,000
784	10/05/2017	ההגנה 14	מוצקין הותיקה	11564	150	דירה בבית קומות	5	קרקע ראשונה שניה	131	1,280,000
785	09/05/2017	עכו 53	מוצקין הותיקה	10429	84	דירה בבית קומות	3	קרקע	88	750,000
786	07/05/2017	ויצמן 58	מוצקין הותיקה	11562	101	דירה בבית קומות	4	חמישית	109	1,450,000
787	05/05/2017	יעל 29	מוצקין הותיקה	10429	80	דירה בבית קומות	3.5	שלישית	101	765,000
788	04/05/2017	יעל 29	מוצקין הותיקה	10430	383	דירה בבית קומות	3.5	שניה	74	935,000
789	04/05/2017	הילדים 32	מוצקין הותיקה	11577	26	דירה	4		120	1,300,000
790	03/05/2017	סנש חנה 11	מוצקין הותיקה	10429	80	דירה בבית קומות	3	שלישית	72	800,000
791	01/05/2017	הילדים 15	מוצקין הותיקה	11564	155	דירה בבית קומות	5	שלישית	169	1,380,000
792	27/04/2017	אוסישקין 3	מוצקין הותיקה	10429	86	דירה בבית קומות	4	שלישית	72	730,000
793	27/04/2017	כצנלסון 5	מוצקין הותיקה	11562	115	דירה בבית קומות	1	ראשונה	25	395,000
794	26/04/2017	סנש חנה 21	מוצקין הותיקה	10430	374	דירה בבית קומות	4	חמישית	98	1,240,000
795	25/04/2017	ברק 30	מוצקין הותיקה	10430	374	דירה	4		98	1,240,000
796	25/04/2017	ההגנה 23	מוצקין הותיקה	10428	154	דירה בבית קומות	2	ראשונה	26	340,000
